ID,Age,Gender,Caregiver,Item,Utterances_C,MLU_C,Utterances_M,MLU_M,Token_C,TTR_C,VocD_C,Token_M,TTR_M,VocD_M,Turn,Nodes,Density,Clustering,Length
P12,66,M,MOT,Car,70,4.243,32,4.062,288,0.361111,33.12,133,0.518797,41.73,272,61,0.03278688524590160,0.43317720530835300,1.9242424242424200
P12,66,M,MOT,ComputerBox,32,3.312,21,4.81,112,0.392857,17.55,126,0.420635,21.3,104,18,0.0457516339869281,0.2962962962962960,1.3333333333333300
P12,66,M,MOT,Degu,61,3.361,33,6.061,217,0.410138,41.54,220,0.359091,28.69,200,42,0.03948896631823460,0.4484126984126980,2.1818181818181800
P12,66,M,MOT,Robodog,29,3.103,22,3.5,89,0.460674,17.33,97,0.56701,38.57,85,186,0.011682650392327800,0.32531780276087700,3.786080586080590
P12,66,M,MOT,Meerkat,80,4.562,36,4.083,358,0.335196,45.47,149,0.449664,31.06,341,75,0.02702702702702700,0.3573650793650790,3.0615942028985500
P12,66,M,MOT,Starfish,65,4.185,30,4.267,263,0.353612,31.66,149,0.42953,31.03,252,40,0.03717948717948720,0.30166666666666700,2.2
P13,66,M,MOT,Car,64,3.844,77,5.494,264,0.363636,40.03,413,0.331719,42.48,245,47,0.0666049953746531,0.37425765723638100,2.3174603174603200
P13,66,M,MOT,ComputerBox,26,4.077,68,6.279,136,0.5,43.72,438,0.255708,34.94,125,35,0.1092436974789920,0.6670015698587130,2.0292397660818700
P13,66,M,MOT,Degu,49,3.449,105,6.067,182,0.472527,42.92,609,0.2578,49.73,173,38,0.051209103840682800,0.35730994152046800,2.549019607843140
P13,66,M,MOT,Robodog,39,3.205,81,5.21,134,0.485075,37.32,433,0.316397,35.04,126,134,0.03175850072943550,0.48625547921468800,2.9985858585858600
P13,66,M,MOT,Meerkat,48,4.375,85,5.682,210,0.447619,46.83,467,0.37045,61.08,201,46,0.08019323671497580,0.5767253278122840,2.4233333333333300
P13,66,M,MOT,Starfish,45,3.156,106,6.962,137,0.50365,43.02,719,0.257302,54.31,126,27,0.05698005698005700,0.43209876543209900,1.3
P14,66,M,MOT,Car,48,3.604,54,4.167,171,0.450292,48.24,209,0.4689,48.42,165,40,0.035897435897435900,0.375,1.8
P14,66,M,MOT,ComputerBox,13,3,23,3.043,NaN,NaN,NaN,65,0.646154,40.8,39,10,0.15555555555555600,0.4,1.0
P14,66,M,MOT,Degu,49,3.224,51,4.49,149,0.38255,17.05,212,0.438679,46.17,142,32,0.04435483870967740,0.16145833333333300,1.3
P14,66,M,MOT,Robodog,21,3.19,39,4.026,62,0.66129,45.11,150,0.466667,37.51,57,115,0.015255530129672000,0.3158592132505180,2.4155844155844200
P14,66,M,MOT,Meerkat,22,3.682,60,4.233,82,0.512195,28.31,237,0.43038,39.39,76,20,0.06315789473684210,0.27,1.4
P14,66,M,MOT,Starfish,44,4.068,73,4.863,176,0.482955,50.85,340,0.35,45,166,33,0.056818181818181800,0.4155122655122660,1.8888888888888900
P15,42,M,MOT,Car,54,2.981,73,4.753,159,0.421384,34.12,336,0.318452,34.99,153,33,0.045454545454545500,0.2696969696969700,2.2888888888888900
P15,42,M,MOT,ComputerBox,39,3.179,67,4.179,140,0.457143,42.02,261,0.348659,46.61,133,39,0.043184885290148400,0.358974358974359,2.3636363636363600
P15,42,M,MOT,Degu,62,3.048,65,5.138,208,0.326923,22.75,316,0.322785,30.1,191,38,0.05832147937411100,0.2067251461988300,2.411255411255410
P15,42,M,MOT,Robodog,22,3.273,40,5.125,73,0.465753,15.42,196,0.367347,26.19,70,141,0.015197568389057800,0.24101568250504400,3.7857142857142900
P15,42,M,MOT,Meerkat,47,2.638,63,4.603,123,0.414634,23.89,268,0.369403,41.53,114,24,0.028985507246376800,0.0,1.3333333333333300
P15,42,M,MOT,Starfish,61,3.475,84,5.107,222,0.382883,35.83,411,0.301703,36.33,204,43,0.044296788482835,0.25193798449612400,2.4175824175824200
P16,42,M,MOT,Car,30,5.3,50,4.56,174,0.41954,42.75,222,0.454955,50.39,163,33,0.07196969696969700,0.5545454545454550,2.9
